employee_id,department,performance_rating,years_experience,tenure_years,education_level,remote_days_per_week,office_zip,regional_unemployment,cost_of_living_idx,base_salary,bonus_pay,hourly_contractor_rate,hire_date
100029,Sales,Medium,3,3,Bachelors,3,20196,5.0,96.2,57643.87,3629.59,,2023-03-04
100030,Engineering,High,7,3,PhD,2,94842,4.09,74.7,76072.79,5742.1,$41.27,2020-05-26
100031,Finance,High,6,2,Bachelors,2,37110,4.74,124.9,83992.06,6949.12,,2019-04-27
100032,Sales ,Medium,15,9,Masters,4,22791,4.4,153.2,103594.89,5545.98,,2016-04-25
100033,ENG,Low,2,2,Bachelors,0,46753,4.58,114.1,70632.65,845.38,,2022-09-14
100034, finance,High,9,3,Bachelors,5,92816,4.58,111.2,,7020.66,USD 46.45,2022-02-07
100035,Finance,Medium,0,0,Masters,2,87142,4.51,131.6,71362.1,4610.93,$74.49,2018-08-23
100036,Engineering,Medium,4,4,PhD,3,50544,2.3,99.8,73370.75,5496.16,47.43,2013-03-04
100037,Finance,Low,10,6,Bachelors,3,20443,5.76,131.2,,2084.26,usd 67.81,2016-09-08
100038,Sales,Medium,9,6,Masters,1,61770,4.7,107.3,61401.8,4680.23,,2025-01-06
100039,Finance,Medium,8,4,Masters,4,57055,4.17,70.5,72321.77,4516.73,USD 28.00,2024-04-24
100040,Fin.,Medium,3,3,Bachelors,5,12299,5.24,134.5,73461.06,4192.27,,2022-03-18
100041, finance,Low,7,3,Masters,3,86705,4.04,71.9,62484.25,282.34,$57.71,2018-07-28
100042,Sales,High,5,5,Bachelors,0,62276,4.09,93.1,46753.94,4878.33,$50.75,2016-10-03
100043,Engineering,,3,3,Bachelors,2,26820,4.08,103.3,,,usd 46.94,2016-09-09
100044,Finance,High,9,1,Bachelors,2,19843,3.09,114.1,73172.85,4195.11,52.92,2016-09-17
100045,Finance,High,9,3,Masters,3,81809,4.29,110.0,85521.59,7052.1,USD 30.72,2025-06-25
100046,Finance,Low,9,2,Bachelors,3,72797,3.91,101.3,74973.46,1690.21,,2012-10-26
100047,Sales,Medium,9,2,Bachelors,2,37393,4.16,88.7,57342.7,1064.21,$58.17,2012-12-01
100048,Engineering,,5,5,Bachelors,0,34346,4.13,79.0,54571.22,,USD 27.47,2019-06-05
100049,ENG,Medium,3,1,Bachelors,1,74452,4.0,101.0,68155.53,4200.85,64.64,2012-11-03
100050,Engineering,Medium,0,0,Masters,3,77889,3.63,116.6,71863.53,4925.36,usd 29.71,2021-09-24
100051,Sales,High,4,4,Bachelors,2,86705,4.04,71.9,40026.63,3248.56,USD 41.54,2024-05-24
100052,Finance,,10,5,Masters,1,67285,3.75,102.6,78618.48,,usd 63.68,2019-05-10
100053,Sales,Low,6,6,Bachelors,0,22965,3.55,76.8,44621.69,1114.21,$45.04,2014-02-10
100054,Finance,Medium,19,3,Bachelors,2,87269,3.92,106.1,85423.1,5787.16,usd 57.62,2020-10-12
100055,SALES,Medium,0,0,Bachelors,3,82057,4.71,124.3,65971.43,2307.0,$35.51,2020-01-07
100056,Sales,Low,6,5,Bachelors,2,85083,4.1,91.1,52166.9,0.0,$47.06,2022-02-19
100057,Sales,Medium,5,4,PhD,3,22729,4.44,153.0,92253.8,8107.62,usd 34.78,2025-09-27
100058,Finance,Medium,5,5,Bachelors,1,57127,3.85,128.7,72605.54,4919.27,usd 66.07,2013-10-05
100059,Engineering,High,5,2,Bachelors,5,82641,4.09,108.0,76817.98,4903.36,$34.67,2013-01-06
100060,Engineering,Medium,8,5,PhD,5,15056,4.33,99.2,81900.74,3518.71,48.04,2014-06-14
100061,Engineering,High,3,3,PhD,3,73263,4.41,106.2,87730.47,7083.23,,2025-09-11
100062,Engineering,Medium,11,4,Masters,0,87714,4.2,149.6,103318.5,5454.99,usd 35.13,2023-12-30
100063,Sales,Medium,12,4,Bachelors,0,41790,4.26,78.3,60800.44,2627.04,51.25,2016-02-25
100064,Engineering,Medium,10,0,Masters,2,66129,4.4,125.2,78414.8,4386.09,,2024-12-16
100065,ENG,,2,2,Masters,1,72847,4.64,110.3,70096.55,,usd 73.97,2013-01-21
100066,Engineering,High,5,3,Bachelors,1,38899,3.74,98.2,81531.61,5908.66,40.25,2018-04-26
100067,Finance,,10,4,Masters,3,71284,4.49,132.3,94416.9,,54.49,2023-01-05
100068,FINANCE,Low,1,1,Bachelors,2,29290,4.99,156.7,73210.55,2862.69,USD 35.05,2017-07-03
100069, eng ,Medium,10,1,Bachelors,3,52830,4.96,135.8,91782.12,5655.94,$30.49,2016-05-21
100070,Finance,Low,0,0,Bachelors,5,33330,4.05,151.5,64715.07,982.61,USD 55.70,2023-04-14
100071,Finance,,7,3,Bachelors,3,55757,4.17,130.2,88511.1,,42.57,2016-04-07
100072,Engineering,Medium,6,0,PhD,1,44153,4.3,89.7,91512.71,4085.23,,2013-02-13
100073,Engineering,Medium,6,0,Bachelors,5,84495,3.92,79.7,62958.21,3076.39,USD 51.46,2018-03-28
100074,Engineering,Low,13,0,Bachelors,4,18159,5.12,163.8,110562.32,2048.08,43.39,2018-10-16
100075,Sales,Medium,4,4,Bachelors,5,92601,4.3,122.4,55993.66,3847.33,USD 65.11,2012-06-01
100076,Sales,Medium,10,7,Masters,3,26826,4.37,135.3,79859.84,4438.55,,2023-11-24
100077,Engineering,Medium,7,2,Masters,0,39895,3.67,98.6,84700.31,4191.73,USD 37.05,2017-12-22
100078,Finance,Low,0,0,Bachelors,1,77889,3.63,116.6,57512.18,1359.69,usd 33.15,2017-08-13
100079,Finance,High,10,5,Masters,4,17801,4.15,79.2,72097.65,5644.51,$34.44,2014-08-31
100080,FINANCE,Low,2,2,Bachelors,1,34988,4.38,109.1,56857.85,0.0,usd 43.97,2020-12-19
100081,Engineering ,Medium,5,3,Bachelors,2,98879,4.89,152.1,92426.18,3176.97,60.87,2024-06-15
100082,Finance,Low,5,5,Bachelors,3,18049,3.94,100.2,,1270.62,USD 72.55,2024-05-14
100083, eng ,High,10,2,Masters,0,77673,5.52,127.3,93765.15,9211.1,38.14,2013-10-08
100084,Finance,Medium,3,3,Bachelors,2,20688,4.82,95.8,59700.23,3958.39,usd 56.74,2015-10-28
100085, eng ,Medium,5,5,Bachelors,3,13192,4.25,88.0,60643.66,3243.98,$26.54,2022-04-19
100086,Finance,Medium,0,0,Masters,1,46624,4.57,82.2,51400.1,678.36,37.73,2014-01-28
100087,Engineering,Medium,7,4,Masters,1,72229,5.07,139.5,97831.8,5020.99,USD 37.46,2018-08-13
100088,Sales,,0,0,Masters,1,12819,3.23,108.7,61287.17,,$36.16,2016-02-13
100089,engineering,Medium,2,0,Masters,0,63495,3.12,83.9,62256.72,4551.63,,2018-07-20
100090,Finance,Medium,0,0,Bachelors,0,22102,4.9,127.9,60077.31,1936.82,20.89,2014-10-26
100091,Finance,Low,2,0,PhD,5,99472,4.08,84.4,57512.46,1892.89,$48.01,2020-04-06
100092,Sales,Low,2,2,Bachelors,5,44520,4.46,119.8,51396.41,707.75,,2012-07-01
100093,Engineering,Medium,14,1,Masters,4,99578,3.22,74.6,85105.1,1624.03,usd 58.49,2024-01-26
100094,Sales,Low,11,2,Bachelors,3,34050,4.53,144.5,,0.0,$49.89,2018-10-11
100095,FINANCE,High,1,1,Masters,5,50544,2.3,99.8,60466.84,5631.65,50.70,2013-10-28
100096,Engineering,,5,0,Masters,2,70788,3.88,82.6,77744.59,,USD 61.74,2013-09-27
100097,Engineering,High,6,6,Bachelors,0,16506,4.26,87.1,74064.79,5424.36,USD 58.51,2024-02-16
100098,Engineering,High,7,5,Masters,1,42002,4.38,98.3,89776.32,7777.3,,2022-03-17
100099,sales,Low,11,4,Bachelors,4,72226,5.81,117.0,65541.57,0.0,$44.52,2017-04-27
100100,Sales,Medium,10,3,PhD,3,29689,3.88,77.4,59602.6,3135.2,37.20,2023-12-11
100101,Sales,High,0,0,Masters,4,33233,4.75,133.7,49912.58,4003.73,70.59,2016-05-11
100102,Sales,,7,3,Masters,1,76920,5.09,102.0,74559.27,,usd 53.28,2013-01-01
100103,Finance,Medium,10,5,Bachelors,0,74095,4.11,115.4,,3015.63,USD 42.76,2015-05-16
100104,Finance,,5,3,Bachelors,3,52327,4.0,98.9,69517.47,,$34.87,2015-02-21
100105,Engineering,Medium,6,5,Bachelors,3,72044,3.95,94.7,72990.69,3779.49,usd 47.14,2017-10-27
100106,Finance,High,12,3,PhD,4,38008,4.94,90.2,85167.02,6548.79,USD 44.26,2023-11-22
100107,SALES,Low,7,5,Bachelors,0,70712,3.84,115.0,,411.64,56.18,2014-04-11
100108,Sales,,6,5,Masters,3,29520,4.33,140.2,83407.52,,USD 56.36,2017-06-22
100109,Engineering,Medium,17,4,Masters,0,95985,4.26,103.1,104218.39,6383.7,$37.87,2019-06-27
100110,Engineering,Medium,6,6,Bachelors,1,61801,5.0,111.8,,7286.01,USD 72.37,2024-06-18
100111,Finance,High,8,8,Masters,1,19349,4.04,85.8,74948.29,5844.21,51.21,2022-01-04
100112,Finance,High,14,0,Bachelors,0,96582,3.08,74.2,83335.69,6250.04,$46.19,2019-11-24
100113,Engineering,Low,0,0,Masters,3,55364,5.64,128.0,57724.21,2092.89,52.11,2020-04-20
100114,Sales,Medium,7,6,Bachelors,3,81193,4.07,95.2,59566.08,3980.93,usd 69.08,2021-01-27
100115,sales,Medium,8,4,Bachelors,1,18815,4.83,103.4,71895.98,3391.86,USD 54.71,2024-08-14
100116,Sales,Low,9,7,PhD,4,20623,3.86,105.0,80855.39,1236.63,$81.47,2020-02-25
100117,Engineering ,High,0,0,Masters,2,66269,4.22,144.1,100338.9,7426.55,,2024-04-30
100118,Sales,Low,16,2,Bachelors,3,25651,5.21,140.2,81675.3,3079.26,USD 39.20,2020-03-17
100119,Finance,Medium,6,6,Bachelors,5,42813,3.26,119.9,64223.72,2303.67,38.05,2021-09-30
100120,ENG,Medium,6,0,Bachelors,4,34050,4.53,144.5,93247.53,3663.58,44.84,2025-03-29
100121,Finance,Low,2,2,Bachelors,4,76673,3.41,102.0,,999.92,USD 44.64,2021-08-19
100122,Finance,Medium,6,6,Masters,1,23801,3.68,84.4,63183.71,3971.91,,2024-10-09
100123,Sales,High,3,3,Masters,2,27383,4.29,88.7,49274.07,3850.76,usd 46.40,2024-09-14
100124,Sales,Medium,8,1,Masters,3,45031,3.77,148.2,79494.0,4883.41,$40.21,2014-09-08
100125,engineering,High,8,8,Masters,4,31114,4.23,149.9,,6497.1,USD 43.95,2012-07-14
100126,Sales,High,0,0,Bachelors,1,51555,4.5,124.6,68543.34,5794.67,,2013-11-26
100127,Finance ,,2,0,Bachelors,3,94018,5.69,113.0,68578.54,,USD 37.32,2020-07-25
100128, Sales,Low,9,8,Bachelors,3,42646,5.24,122.6,65664.63,1849.73,28.67,2019-11-07
100129,Engineering,Medium,8,2,Masters,3,56137,4.61,117.1,83421.52,2999.71,USD 67.94,2019-11-01
100130,Engineering,Medium,7,3,Bachelors,5,52598,4.12,103.2,71128.9,4506.81,$46.04,2017-11-29
100131,Sales,Medium,8,4,Bachelors,1,45504,4.86,119.3,81173.36,3663.95,usd 46.17,2018-10-26
100132,engineering,High,7,0,Bachelors,4,30935,5.46,92.7,69070.01,4738.6,usd 54.95,2015-10-09
100133,Sales,Medium,7,7,Masters,2,66386,3.78,86.5,59335.78,2567.72,,2024-01-11
100134,engineering,Low,5,5,Bachelors,3,35927,4.22,143.5,66459.23,811.53,USD 44.32,2014-01-27
100135,Engineering,Medium,7,4,Masters,2,55757,4.17,130.2,85950.12,3608.33,$55.46,2019-07-29
100136,ENG,Low,8,3,Bachelors,1,34050,4.53,144.5,90073.43,1743.55,,2016-04-25
100137, finance,Low,6,2,Bachelors,3,35187,3.85,107.5,58941.13,841.31,USD 40.99,2024-06-18
100138,SALES,Medium,2,2,Masters,3,85404,4.21,104.3,64392.08,2718.9,,2023-11-29
100139,Finance,Medium,6,0,Bachelors,2,18049,3.94,100.2,70637.57,3784.72,,2021-05-19
100140,Engineering,Medium,3,3,Masters,3,56750,5.21,130.0,,3361.43,52.68,2022-07-24
100141,Finance ,Medium,11,0,Bachelors,3,63628,4.49,95.5,60856.65,3349.88,usd 100.18,2014-07-23
100142,Engineering,High,16,6,PhD,2,96270,4.18,108.4,111954.83,6388.95,,2017-07-26
100143, Sales,Low,3,3,Bachelors,3,11198,2.95,90.2,30616.87,1358.62,USD 48.23,2024-09-09
100144,engineering,,6,4,Masters,1,16084,4.59,123.4,78051.05,,USD 43.38,2024-02-14
100145,Engineering,Medium,9,7,Bachelors,4,20463,4.8,89.2,64601.48,1713.27,,2024-02-12
100146,Sales,Medium,3,3,Masters,5,41774,4.82,107.4,59249.11,2518.3,usd 50.42,2019-10-07
100147,Engineering,Medium,7,7,Bachelors,4,76974,3.38,101.3,79403.09,5610.9,USD 38.62,2016-05-10
100148,Finance,Medium,10,5,Bachelors,3,18269,4.03,141.6,88291.66,4219.05,usd 70.98,2023-03-01
100149,Finance,Low,15,2,Masters,3,40987,5.11,128.2,92365.44,1794.81,51.08,2019-06-28
100150,Sales,Medium,12,9,Masters,5,19524,3.53,94.3,77009.47,4001.83,usd 44.43,2021-06-15
100151,Sales,High,5,3,Masters,2,80940,5.07,119.7,69863.28,5815.4,usd 35.89,2018-09-11
100152,Sales,,6,5,Bachelors,3,69952,4.16,115.3,53734.77,,usd 58.41,2013-06-11
100153,Engineering,High,3,3,Bachelors,1,48906,4.21,138.3,88428.38,7732.53,USD 60.04,2017-02-24
100154,Engineering,Medium,4,4,Bachelors,3,65431,4.05,141.3,79932.31,6134.26,USD 44.38,2016-09-02
100155, eng ,Medium,5,0,Bachelors,3,22965,3.55,76.8,55714.94,2994.57,58.48,2016-10-01
100156,Sales,Medium,8,2,Bachelors,1,34592,3.64,97.1,70236.8,3998.57,$60.52,2021-05-20
100157,Finance,Medium,14,2,Bachelors,2,74456,4.86,128.5,81203.0,7047.34,$67.97,2013-12-16
100158,Engineering,Medium,5,1,Bachelors,2,50544,2.3,99.8,74945.04,3699.87,40.24,2013-03-23
100159,Engineering ,Medium,9,5,Bachelors,2,71394,4.27,109.6,90711.1,3222.98,,2016-02-19
100160,sales,Low,6,6,Bachelors,3,47976,3.85,112.2,62907.95,1828.36,USD 32.60,2013-12-02
100161,Sales,High,9,6,Masters,2,91479,4.74,120.7,79420.43,5374.48,$41.61,2013-06-12
100162,Finance,,2,2,Bachelors,4,44153,4.3,89.7,69452.34,,62.37,2017-02-09
100163,Finance,Medium,6,1,PhD,3,18269,4.03,141.6,87743.17,3803.87,usd 78.89,2012-05-25
100164,Finance,Medium,7,7,Masters,5,12220,5.08,83.3,74975.0,1917.66,39.86,2012-08-06
100165,Finance,,11,5,Bachelors,3,17618,4.19,90.4,83154.85,,usd 45.62,2017-07-06
100166,Finance,High,11,4,Bachelors,4,21567,4.65,96.7,75379.99,5562.18,,2012-01-02
100167,Sales,Low,8,8,Masters,1,52598,4.12,103.2,57969.65,1527.58,,2015-06-30
100168,Sales,Low,5,5,Bachelors,0,59383,3.8,115.9,48887.32,1626.99,usd 64.46,2013-01-05
100169,Finance,Medium,7,2,PhD,2,43191,5.27,104.6,75186.52,5573.75,usd 28.95,2024-08-10
100170,Engineering,Medium,9,8,Bachelors,0,32602,4.59,92.6,76766.15,2163.45,8.07,2017-11-15
100171,Sales,High,10,0,Masters,0,17217,4.36,102.3,,6998.53,,2012-04-14
100172,Finance,Medium,7,7,Bachelors,1,78216,3.86,92.3,65076.5,3093.59,,2022-01-23
100173,Engineering ,High,3,3,Masters,0,71954,4.69,110.9,83005.43,6373.27,,2021-12-18
100174,Engineering,Low,3,3,Bachelors,1,22915,4.44,124.1,54112.72,2544.26,$47.44,2019-06-28
100175,Engineering,Low,10,7,Bachelors,1,74609,5.63,158.8,89449.85,1790.85,37.89,2012-09-07
100176,Finance,Medium,7,3,Masters,4,71954,4.69,110.9,69333.01,5065.22,$38.28,2016-08-24
100177,Sales,Medium,15,6,Masters,1,65928,3.83,99.9,73548.32,2227.59,,2020-12-13
100178,Fin.,,6,3,Bachelors,4,16770,5.18,142.0,78641.96,,25.98,2016-05-14
100179,Engineering,Medium,4,4,Masters,4,30126,5.16,118.9,80458.32,5668.86,$30.96,2018-09-05
100180,Engineering,Medium,3,3,Bachelors,4,33330,4.05,151.5,96462.79,990.47,$34.11,2013-08-24
100181,Engineering,Low,12,5,Bachelors,4,55584,4.33,97.9,82597.62,2960.69,USD 36.69,2017-06-10
100182,Sales,Medium,0,0,Bachelors,0,80815,3.68,114.3,,2905.79,,2023-08-19
100183,Engineering,Low,4,4,Bachelors,5,14907,3.92,90.1,62778.28,519.11,25.00,2024-01-09
100184,Sales,High,3,3,Masters,3,87721,4.15,121.2,,4714.97,usd 33.33,2018-10-08
100185,Engineering,Medium,5,3,Bachelors,3,82999,4.98,100.0,68450.63,3443.42,usd 81.14,2012-10-09
100186,Sales,,9,4,Bachelors,1,92221,4.05,110.8,,,usd 55.29,2014-08-06
100187,Finance,High,16,7,Masters,2,67524,3.72,105.8,110271.35,10219.32,64.90,2021-01-11
100188,Sales,Medium,7,2,Bachelors,4,27564,3.99,104.1,59534.79,2567.16,,2021-03-28
100189,Engineering,Medium,7,7,Bachelors,1,56762,3.4,115.4,81943.09,4630.01,24.35,2015-10-30
100190,Sales,Medium,0,0,Bachelors,2,56607,3.99,100.9,45374.25,2849.5,,2014-03-26
100191,Finance,Low,7,7,Bachelors,5,61911,5.25,133.5,88134.13,3713.4,16.39,2024-11-14
100192, eng ,High,12,3,Bachelors,3,32981,3.29,121.7,101858.75,6567.93,,2016-05-13
100193,SALES,Medium,9,5,Bachelors,3,86592,3.27,145.1,87301.66,5786.98,55.19,2012-10-12
100194,Sales,Medium,12,0,Masters,5,52560,5.19,129.1,,2531.01,$63.01,2022-09-06
100195,Finance,Medium,3,3,Bachelors,3,90555,4.79,129.7,64340.68,941.08,USD 49.27,2012-09-13
100196,Engineering,Medium,17,6,Masters,3,56415,3.33,89.9,83309.43,3205.06,USD 43.76,2022-04-22
100197,Sales,Medium,13,3,Bachelors,1,59383,3.8,115.9,81985.8,5251.29,$27.17,2025-03-20
100198,Finance,High,4,1,Bachelors,0,53062,3.61,98.0,71647.08,4526.03,usd 48.21,2022-05-28
100199,Finance,Medium,1,1,Masters,1,48600,3.88,70.4,38416.42,1815.46,,2017-11-03
100200,Sales,Medium,8,3,Bachelors,2,93885,4.3,102.1,65211.08,3195.57,,2015-05-23
100201,Engineering,Medium,5,5,Masters,5,48173,5.31,108.3,63586.62,3568.66,usd 50.99,2018-07-05
100202,Finance,Medium,5,5,Masters,3,63628,4.49,95.5,,3041.83,,2024-07-20
100203,Sales,High,10,5,Masters,3,66641,3.43,117.0,75952.93,5612.94,USD 64.71,2018-01-09
100204,Sales,Medium,1,1,Bachelors,4,15226,4.58,108.1,46832.47,2080.03,22.54,2013-05-31
100205,Engineering,High,5,5,Masters,4,88722,5.22,102.0,77879.13,4715.46,USD 44.18,2019-02-07
100206,Engineering,Medium,7,0,PhD,2,86592,3.27,145.1,91907.4,4619.73,,2015-07-03
100207,Sales,Medium,4,4,PhD,4,67690,3.97,117.3,55894.54,3018.91,$34.48,2025-10-01
100208,Finance,Medium,8,4,Bachelors,1,57083,4.53,108.2,67747.37,1599.4,$62.86,2025-08-24
100209,Engineering,High,3,3,Bachelors,2,55698,4.47,119.6,67379.83,5544.01,42.53,2023-07-30
100210,Sales,High,13,8,Bachelors,2,92394,3.35,143.2,99200.11,5833.89,$63.19,2019-08-07
100211,Sales,Medium,0,0,Masters,1,35187,3.85,107.5,61884.66,5611.51,USD 71.69,2018-02-17
100212,Engineering,High,7,7,Masters,0,14789,2.83,90.9,92069.23,8750.24,,2016-02-03
100213,Finance,High,3,2,Bachelors,2,60146,4.6,76.2,,5089.2,USD 63.75,2016-01-01
100214,Engineering,High,8,0,Bachelors,1,13277,4.95,92.5,81799.55,5578.37,,2013-04-22
100215,Sales,Low,0,0,Bachelors,0,13192,4.25,88.0,43238.13,561.1,,2018-09-18
100216,Engineering,Low,8,3,PhD,1,77889,3.63,116.6,89506.12,1883.63,$31.57,2024-10-24
100217,Fin.,Low,6,6,Masters,2,83649,3.43,77.5,60918.97,291.94,,2016-09-25
100218,Sales,Medium,11,3,Bachelors,0,48700,3.15,82.9,52752.55,1838.18,usd 57.48,2013-07-14
100219,Engineering,Medium,8,0,Masters,4,32900,4.66,145.6,100335.46,3787.69,36.68,2014-01-27
100220,Sales,Medium,7,7,Masters,2,63603,4.54,143.9,78855.47,4623.2,,2018-07-28
100221,Finance,Low,0,0,PhD,0,69416,3.76,131.5,75507.68,2114.85,68.34,2013-05-19
100222,Finance,Medium,12,6,Bachelors,1,48661,3.85,107.9,68846.12,3378.41,USD 35.64,2024-04-12
100223,Sales,Medium,3,3,Masters,4,40776,4.12,89.7,,4899.18,usd 55.24,2014-04-12
100224,Sales,Medium,10,2,Bachelors,4,59924,4.86,127.5,68559.8,4017.6,usd 31.82,2017-11-03
100225,Finance,Medium,9,2,Masters,2,87693,4.14,88.7,77351.46,3253.95,,2019-07-27
100226,Finance,Low,9,2,Bachelors,4,24231,4.74,139.6,97109.17,486.77,61.50,2017-08-14
100227, finance,Medium,11,4,Masters,2,22328,4.81,140.3,86149.6,5018.72,usd 42.56,2012-07-29
100228,Finance,Medium,12,0,Masters,2,45193,3.96,107.1,101319.19,8973.09,usd 23.04,2021-05-31
100229,Finance,Low,16,2,Bachelors,3,44757,3.98,65.5,65427.93,805.41,USD 49.41,2012-11-30
100230,Finance,Medium,9,5,Masters,5,43280,3.78,80.3,68803.57,4765.77,usd 40.50,2021-06-13
100231, finance,Medium,4,4,Bachelors,1,75497,3.31,95.2,,2785.1,,2019-07-19
100232,Engineering,,12,10,Bachelors,0,99578,3.22,74.6,66477.76,,usd 78.90,2017-06-02
100233,Sales,Medium,8,1,Masters,3,25492,4.24,126.2,77540.64,4331.0,$47.76,2023-05-17
100234,Engineering,High,9,4,Bachelors,0,93303,4.06,149.2,100339.86,10298.53,USD 13.28,2013-04-07
100235,Fin.,Medium,1,1,Bachelors,1,80618,4.09,118.7,72638.69,5381.94,usd 37.14,2025-02-06
100236,Engineering,High,7,6,Masters,0,75218,3.45,91.1,85788.87,5147.53,$36.06,2021-03-20
100237,Finance,High,10,7,Bachelors,2,52830,4.96,135.8,87511.68,7956.99,54.77,2019-03-04
100238,Engineering,Medium,5,5,Bachelors,5,72947,4.08,80.3,75001.21,3224.93,44.77,2020-11-12
100239,Engineering,Medium,2,2,Bachelors,3,50585,4.88,80.1,50793.75,1448.46,41.36,2012-03-14
100240,Sales,Medium,11,4,Bachelors,4,74872,4.4,105.2,68493.08,2056.7,usd 53.82,2023-07-27
100241,Finance,Medium,5,5,Bachelors,1,33556,4.0,87.5,70830.57,2520.18,USD 76.46,2024-07-03
100242,Sales,High,6,6,Masters,0,29689,3.88,77.4,56335.01,4640.1,53.22,2017-06-13
100243,Finance,,11,1,PhD,4,19553,4.45,140.1,87586.93,,usd 61.33,2019-04-12
100244,Sales,Low,8,4,PhD,0,60086,4.24,136.6,,1045.63,52.36,2018-04-18
100245, Sales,Medium,6,6,Bachelors,1,95452,4.83,130.3,74212.08,5391.77,usd 43.31,2014-11-28
100246,Engineering,High,10,9,Bachelors,3,43191,5.27,104.6,,6223.27,$46.13,2013-08-18
100247,Finance,Low,5,4,Bachelors,2,54201,4.35,123.0,64908.14,470.02,56.20,2016-06-17
100248,Sales,Medium,8,5,Bachelors,1,73022,4.47,84.0,59434.43,3072.58,$49.06,2020-05-05
100249,sales,Low,7,2,PhD,4,39696,4.47,120.8,70151.82,1679.71,,2020-05-27
100250,Engineering,Low,15,4,Masters,2,52830,4.96,135.8,92389.45,640.1,44.19,2024-08-10
100251,Sales,Medium,0,0,Bachelors,0,19383,4.52,122.4,58342.75,3113.48,USD 73.59,2023-09-06
100252,Finance,Medium,15,4,PhD,3,49213,4.51,117.1,103077.62,3164.59,$58.45,2014-05-10
100253,FINANCE,Medium,6,4,Bachelors,5,94373,4.51,78.3,57486.73,1644.66,,2014-07-16
100254,SALES,Low,13,6,Bachelors,0,12225,4.46,134.0,81875.88,2651.69,56.97,2021-01-04
100255,Engineering,,7,7,PhD,2,16506,4.26,87.1,80717.74,,USD 65.08,2021-08-31
100256,Sales,High,6,6,Bachelors,2,65525,4.49,130.0,63874.19,4029.62,$45.36,2021-11-27
100257,Sales ,Medium,8,6,Bachelors,1,55584,4.33,97.9,64078.47,2796.95,,2023-10-16
